sym_tag,po_tag,eff_tag,n,beta1_OR,poregbias,poregcov,poregp,wpbias,wpcov,wpp,bin7bias,bin7cov,bin7p,linbias,lincov,linp,pobiasz,wpbiasz,bin7biasz,linbiasz,nonPO_d0_bias,nonPO_d15_bias,nonPO_d30_bias,nonPO_d0_Zbias,nonPO_d15_Zbias,nonPO_d30_Zbias,nonPO_d0_cov,nonPO_d15_cov,nonPO_d30_cov,nonPO_d0_pow,nonPO_d15_pow,nonPO_d30_pow,sumnonpoErrFlag,nonPO_pow,nonpoLRTpower,nonpoConvProp
Heavy0,POMet,strengthenedeffects,300,0.5,-0.0084,96%,83%,0.0319,80%,83%,-0.0375,96%,39%,-0.0048,95%,71%,1%,8%,5%,1%,-0.0081,-0.0271,-0.0654,1%,4%,9%,96%,96%,97%,82%,68%,32%,92,87%,47%,91%
Heavy0,POMet,strengthenedeffects,300,0.6,-0.0056,95%,57%,0.0217,90%,57%,-0.0338,96%,25%,-0.0038,96%,47%,1%,5%,7%,1%,-0.0089,-0.0237,-0.0464,2%,5%,9%,96%,96%,97%,55%,46%,21%,67,65%,26%,93%
Heavy0,POMet,strengthenedeffects,300,0.7,-0.0032,96%,31%,0.0141,94%,32%,-0.0274,96%,15%,-0.0035,96%,27%,1%,3%,8%,1%,-0.0085,-0.0235,-0.0524,2%,7%,15%,96%,96%,96%,30%,25%,13%,86,40%,14%,91%
Heavy0,POMet,strengthenedeffects,300,0.8,-0.0025,96%,15%,0.0082,96%,16%,-0.0304,95%,10%,-0.0037,95%,14%,1%,2%,14%,1%,-0.0062,-0.0170,-0.0402,3%,8%,18%,96%,95%,97%,15%,13%,9%,94,25%,8%,91%
Heavy0,POMet,strengthenedeffects,300,0.9,-0.0009,96%,7%,0.0036,96%,7%,-0.0221,96%,6%,-0.0036,96%,7%,1%,1%,21%,3%,-0.0024,-0.0096,-0.0365,2%,9%,35%,96%,95%,96%,7%,7%,5%,88,13%,5%,91%
Heavy0,POMet,strengthenedeffects,300,1,-0.0009,97%,4%,-0.0001,96%,4%,-0.0189,95%,5%,-0.0038,95%,5%,-,-,-,-,-0.0029,-0.0070,-0.0281,-,-,-,96%,95%,96%,4%,5%,4%,80,9%,7%,92%
Heavy0,POViolated,strengthenedeffects,300,0.5,-0.0496,96%,87%,0.0272,85%,87%,-0.049,97%,61%,-0.003,96%,85%,7%,7%,5%,0%,-0.0097,-0.0314,-0.1728,1%,4%,17%,96%,96%,98%,81%,81%,51%,95,92%,58%,91%
Heavy0,POViolated,strengthenedeffects,300,0.6,-0.0517,95%,64%,0.0163,93%,64%,-0.0433,97%,49%,-0.0033,95%,68%,10%,4%,5%,0%,-0.0105,-0.0285,-0.0758,2%,4%,9%,96%,96%,96%,55%,65%,39%,96,76%,38%,90%
Heavy0,POViolated,strengthenedeffects,300,0.7,-0.0529,95%,40%,0.0081,96%,40%,-0.0339,96%,36%,-0.003,96%,47%,15%,2%,5%,0%,-0.0026,-0.0180,-0.0444,1%,4%,7%,96%,97%,97%,29%,45%,30%,79,55%,24%,92%
Heavy0,POViolated,strengthenedeffects,300,0.8,-0.0552,95%,20%,0.0016,96%,21%,-0.0337,96%,26%,-0.0029,96%,30%,25%,0%,6%,1%,-0.0058,-0.0223,-0.0519,3%,6%,10%,96%,96%,96%,15%,26%,22%,70,38%,17%,93%
Heavy0,POViolated,strengthenedeffects,300,0.9,-0.0566,95%,11%,-0.0035,95%,11%,-0.0311,96%,18%,-0.0026,96%,17%,54%,-1%,8%,1%,-0.0013,-0.0152,-0.0473,1%,6%,12%,96%,95%,96%,7%,16%,16%,80,26%,13%,92%
Heavy0,POViolated,strengthenedeffects,300,1,0.0653,95%,5%,0.0085,95%,5%,-0.0055,96%,13%,-0.003,96%,9%,-,-,-,-,-,-,-,-,-,-,95%,94%,95%,5%,6%,10%,432,16%,15%,57%
Heavy0,POMet,attenuatedeffects,300,0.5,-0.0084,96%,83%,0.0319,80%,83%,-0.0375,96%,39%,-0.0048,95%,71%,1%,8%,5%,1%,-0.0081,-0.0271,-0.0654,1%,4%,9%,96%,96%,97%,82%,68%,32%,92,87%,47%,91%
Heavy0,POMet,attenuatedeffects,300,0.6,-0.0056,95%,57%,0.0217,90%,57%,-0.0338,96%,25%,-0.0038,96%,47%,1%,5%,7%,1%,-0.0089,-0.0237,-0.0464,2%,5%,9%,96%,96%,97%,55%,46%,21%,67,65%,26%,93%
Heavy0,POMet,attenuatedeffects,300,0.7,-0.0032,96%,31%,0.0141,94%,32%,-0.0274,96%,15%,-0.0035,96%,27%,1%,3%,8%,1%,-0.0085,-0.0235,-0.0524,2%,7%,15%,96%,96%,96%,30%,25%,13%,86,40%,14%,91%
Heavy0,POMet,attenuatedeffects,300,0.8,-0.0025,96%,15%,0.0082,96%,16%,-0.0304,95%,10%,-0.0037,95%,14%,1%,2%,14%,1%,-0.0062,-0.0170,-0.0402,3%,8%,18%,96%,95%,97%,15%,13%,9%,94,25%,8%,91%
Heavy0,POMet,attenuatedeffects,300,0.9,-0.0009,96%,7%,0.0036,96%,7%,-0.0221,96%,6%,-0.0036,96%,7%,1%,1%,21%,3%,-0.0024,-0.0096,-0.0365,2%,9%,35%,96%,95%,96%,7%,7%,5%,88,13%,5%,91%
Heavy0,POMet,attenuatedeffects,300,1,-0.0009,97%,4%,-0.0001,96%,4%,-0.0189,95%,5%,-0.0038,95%,5%,-,-,-,-,-,-,-,-,-,-,96%,95%,96%,4%,5%,4%,80,9%,7%,92%
Heavy0,POViolated,attenuatedeffects,300,0.5,0.0399,96%,77%,0.0373,73%,77%,-0.0329,96%,18%,-0.0046,95%,51%,-6%,10%,8%,1%,-0.0251,-0.0587,-0.0992,4%,11%,25%,97%,97%,98%,83%,54%,16%,149,85%,55%,85%
Heavy0,POViolated,attenuatedeffects,300,0.6,0.0470,96%,47%,0.028,84%,48%,-0.0293,96%,9%,-0.0046,95%,25%,-9%,7%,14%,1%,-0.0315,-0.0594,-0.1021,6%,16%,48%,96%,95%,97%,58%,28%,10%,195,62%,37%,81%
