sym_tag,po_tag,eff_tag,n,beta1_OR,poregp,wpp,bin7p,linp,nonPO_d0_pow,nonPO_d15_pow,nonPO_d30_pow,nonPO_pow,nonpoLRTpower,nonpoConvProp
Heavy0,POViolated,strengthenedeffects,300,0.5,84%,85%,47%,76%,82%,73%,38%,89%,50%,90%
Heavy0,POViolated,strengthenedeffects,300,0.6,59%,60%,33%,54%,55%,52%,28%,68%,30%,93%
Heavy0,POViolated,strengthenedeffects,300,0.7,34%,35%,22%,33%,30%,30%,19%,44%,17%,93%
Heavy0,POViolated,strengthenedeffects,300,0.8,17%,17%,14%,18%,15%,18%,12%,27%,11%,92%
Heavy0,POViolated,strengthenedeffects,300,0.9,9%,9%,9%,9%,7%,9%,8%,16%,6%,91%
Heavy0,POViolated,strengthenedeffects,300,1,3%,3%,5%,4%,4%,5%,5%,10%,6%,89%
Heavy0,POViolated,attenuatedeffects,300,0.5,81%,81%,31%,65%,82%,63%,27%,85%,46%,92%
Heavy0,POViolated,attenuatedeffects,300,0.6,54%,54%,19%,40%,55%,40%,16%,63%,26%,90%
Heavy0,POViolated,attenuatedeffects,300,0.7,29%,29%,11%,21%,31%,21%,10%,38%,14%,89%
Heavy0,POViolated,attenuatedeffects,300,0.8,14%,14%,6%,10%,15%,10%,6%,21%,10%,90%
Heavy0,POViolated,attenuatedeffects,300,0.9,6%,6%,5%,6%,7%,5%,4%,12%,6%,90%
Heavy0,POViolated,attenuatedeffects,300,1,3%,3%,5%,4%,4%,5%,5%,10%,6%,89%
Symmetric,POViolated,strengthenedeffects,300,0.5,97%,97%,89%,97%,75%,95%,89%,98%,73%,100%
Symmetric,POViolated,strengthenedeffects,300,0.6,79%,80%,70%,81%,46%,73%,68%,85%,43%,100%
Symmetric,POViolated,strengthenedeffects,300,0.7,52%,53%,45%,53%,26%,46%,47%,63%,25%,100%
Symmetric,POViolated,strengthenedeffects,300,0.8,28%,28%,25%,29%,13%,24%,25%,38%,13%,100%
Symmetric,POViolated,strengthenedeffects,300,0.9,13%,13%,13%,13%,8%,9%,12%,21%,8%,100%
Symmetric,POViolated,strengthenedeffects,300,1,5%,5%,6%,5%,5%,4%,5%,12%,6%,99%
Symmetric,POViolated,attenuatedeffects,300,0.5,90%,90%,67%,87%,75%,86%,67%,93%,55%,100%
Symmetric,POViolated,attenuatedeffects,300,0.6,62%,62%,38%,59%,46%,58%,39%,70%,31%,100%
Symmetric,POViolated,attenuatedeffects,300,0.7,30%,30%,17%,29%,26%,28%,17%,42%,14%,100%
Symmetric,POViolated,attenuatedeffects,300,0.8,13%,13%,7%,12%,13%,12%,8%,22%,9%,99%
